epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1610.61,2.21702,1.92585,3.0804,0.77336,0.64529,0.73816,0.30827,2.05384,1.47036,2.65834,0.000999667,0.000999667,0.0810063
2,3067.72,1.55505,1.01282,2.29181,0.72336,0.66835,0.7406,0.38176,1.81696,1.36412,2.40438,0.00197987,0.00197987,0.0619865
3,4299.75,1.41559,0.81135,2.12391,0.86616,0.76004,0.84729,0.47317,1.63067,1.10759,2.1869,0.00294027,0.00294027,0.0429469
4,5510.2,1.37115,0.73643,2.07044,0.90396,0.77434,0.87311,0.4996,1.5633,0.98031,2.11416,0.00388088,0.00388088,0.0238875
5,6727.98,1.34765,0.69389,2.04012,0.89273,0.79053,0.88113,0.52716,1.47717,0.95781,2.02617,0.00480168,0.00480168,0.00480833
6,7934.13,1.3291,0.67254,2.01895,0.88349,0.76634,0.86283,0.51736,1.50991,0.94698,2.04483,0.0047525,0.0047525,0.0047525
7,9131.12,1.29028,0.62289,1.9727,0.89691,0.78285,0.8744,0.5296,1.50065,0.90686,2.02561,0.004703,0.004703,0.004703
8,10312.6,1.25168,0.58353,1.92774,0.90682,0.8065,0.89501,0.54897,1.45065,0.82055,1.98967,0.0046535,0.0046535,0.0046535
9,11500.3,1.22353,0.55538,1.89677,0.91664,0.81985,0.91023,0.56636,1.41196,0.76651,1.95113,0.004604,0.004604,0.004604
10,12674.9,1.20233,0.53466,1.86865,0.91488,0.84172,0.91913,0.57977,1.38027,0.72287,1.93347,0.0045545,0.0045545,0.0045545
11,13853.3,1.18542,0.51921,1.84783,0.91633,0.84162,0.9217,0.58936,1.35555,0.70727,1.90195,0.004505,0.004505,0.004505
12,15028.9,1.16359,0.50209,1.82441,0.91146,0.85184,0.92348,0.5937,1.34914,0.68971,1.8988,0.0044555,0.0044555,0.0044555
13,16229.6,1.14929,0.49137,1.80517,0.90952,0.84276,0.91639,0.58594,1.37325,0.6973,1.92467,0.004406,0.004406,0.004406
14,17396.7,1.13192,0.47915,1.78848,0.91644,0.8451,0.92078,0.58617,1.37547,0.69251,1.92957,0.0043565,0.0043565,0.0043565
15,18571.3,1.11468,0.46795,1.77078,0.91725,0.84943,0.91989,0.5878,1.3698,0.67957,1.92915,0.004307,0.004307,0.004307
16,19747.4,1.09986,0.46088,1.75176,0.91516,0.84666,0.91829,0.58538,1.37508,0.67894,1.93542,0.0042575,0.0042575,0.0042575
17,20913,1.08416,0.44899,1.73632,0.91482,0.84731,0.91902,0.58725,1.36977,0.67549,1.93449,0.004208,0.004208,0.004208
18,22088.2,1.06612,0.44126,1.71741,0.91295,0.85004,0.92062,0.58894,1.36395,0.67106,1.93027,0.0041585,0.0041585,0.0041585
19,23248.6,1.05144,0.42917,1.7013,0.91584,0.84823,0.92098,0.59051,1.36067,0.66859,1.93015,0.004109,0.004109,0.004109
20,24426.4,1.03388,0.42451,1.68314,0.91573,0.84763,0.92002,0.59016,1.35916,0.66903,1.93233,0.0040595,0.0040595,0.0040595
21,25588.3,1.01539,0.41465,1.66548,0.91438,0.84769,0.92011,0.59021,1.3601,0.66724,1.93725,0.00401,0.00401,0.00401
22,26748.1,1.00218,0.40706,1.65219,0.91928,0.84606,0.92012,0.58975,1.36094,0.6646,1.94278,0.0039605,0.0039605,0.0039605
23,27851.9,0.98103,0.39934,1.63059,0.91866,0.84437,0.9202,0.59054,1.36136,0.66289,1.94648,0.003911,0.003911,0.003911
24,28945.6,0.96364,0.39071,1.61259,0.91984,0.84317,0.92049,0.59017,1.36327,0.66277,1.95132,0.0038615,0.0038615,0.0038615
25,30049.6,0.94383,0.38388,1.59373,0.92009,0.84185,0.92002,0.58958,1.36538,0.66284,1.95718,0.003812,0.003812,0.003812
26,31152.6,0.92227,0.37709,1.57166,0.91904,0.84221,0.9193,0.58923,1.36856,0.66291,1.96505,0.0037625,0.0037625,0.0037625
27,32264.4,0.90412,0.3704,1.55165,0.91908,0.84124,0.91918,0.58808,1.37119,0.6626,1.97236,0.003713,0.003713,0.003713
28,33354.1,0.88618,0.36417,1.53319,0.92065,0.8399,0.9195,0.58712,1.37375,0.66265,1.97962,0.0036635,0.0036635,0.0036635
29,34427.8,0.86714,0.3566,1.51169,0.92317,0.83835,0.9194,0.58699,1.37483,0.66307,1.9863,0.003614,0.003614,0.003614
30,35501.3,0.84905,0.34986,1.49316,0.92249,0.83823,0.91922,0.58724,1.37671,0.66304,1.99427,0.0035645,0.0035645,0.0035645
31,36590.2,0.82886,0.34355,1.47129,0.92114,0.83751,0.91651,0.58559,1.37973,0.66294,2.00294,0.003515,0.003515,0.003515
32,37666.2,0.80843,0.33743,1.44893,0.9164,0.83956,0.91579,0.5847,1.38277,0.66333,2.01263,0.0034655,0.0034655,0.0034655
33,38734.3,0.79266,0.33343,1.43158,0.92185,0.8341,0.91504,0.58272,1.38734,0.66608,2.02375,0.003416,0.003416,0.003416
34,39819.9,0.7676,0.32511,1.40543,0.91925,0.83474,0.91442,0.58097,1.39142,0.66793,2.03433,0.0033665,0.0033665,0.0033665
